perc_black,perc_hisp,age_1824,age_75over,no_rid,perc_obama,perc_no_college,rid_rate,relocation_rate,id_capable_rate,hardship_rate,hhi_tenthous,at_least_one,dem,log_pop
0.21177589893341064,0.16833290457725525,0.08699999749660492,0.054999999701976776,0,0.23720061779022217,0.8870000243186951,0.05300041288137436,0,0.029444674029946327,0.023555738851428032,4.132699966430664,1,0,10.966732025146484
0.019612500444054604,0.5320417284965515,0.10100000351667404,0.05000000074505806,0,0.1792963445186615,0.8830000162124634,0.20226536691188812,0.060679610818624496,0.10113268345594406,0.020226536318659782,7.042300224304199,1,0,9.727644920349121
0.15095500648021698,0.20915579795837402,0.09300000220537186,0.06400000303983688,0,0.2784234285354614,0.8479999899864197,0.10910533368587494,0.009918667376041412,0.05620577931404114,0.033062223345041275,4.422299861907959,1,0,11.382224082946777
0.016836799681186676,0.26111480593681335,0.07500000298023224,0.10700000077486038,0,0.2836165428161621,0.8050000071525574,0.2601988613605499,0.10222098231315613,0.037171266973018646,0.11151380091905594,4.169000148773193,1,0,10.097902297973633
0.010365599766373634,0.08064699918031693,0.0820000022649765,0.07699999958276749,0,0.12727272510528564,0.7940000295639038,0.18420447409152985,0,0.115127794444561,0.06907667219638824,6.027500152587891,1,0,9.080118179321289
0.007842699997127056,0.6278640031814575,0.08900000154972076,0.0560000017285347,0,0.4075750410556793,0.8600000143051147,0.23814678192138672,0.007216569036245346,0.08659882843494415,0.12989825010299683,5.219200134277344,1,0,10.758966445922852
0.08838190138339996,0.25365230441093445,0.08299999684095383,0.06800000369548798,0,0.1955370306968689,0.7990000247955322,0.1289179027080536,0,0.056401580572128296,0.056401580572128296,5.36870002746582,1,0,10.271112442016602
0.02062870003283024,0.600617527961731,0.09000000357627869,0.08399999886751175,0,0.2581717371940613,0.921999990940094,0.1116071417927742,0,0.1116071417927742,0,3.7397000789642334,1,0,8.8715057373046875
0.014137299731373787,0.17522600293159485,0.05999999865889549,0.08900000154972076,0,0.20064584910869598,0.7739999890327454,0.04849190264940262,0.009698380716145039,0.02909514121711254,0.009698380716145039,4.986299991607666,1,0,9.942516326904297
0.07887139916419983,0.3447912931442261,0.07900000363588333,0.05000000074505806,0,0.41277146339416504,0.8209999799728394,0.14192745089530945,0.017308223992586136,0.055386319756507874,0.06230960786342621,5.482100009918213,1,0,11.250885009765625
0.08720409870147705,0.5733795166015625,0.1120000034570694,0.04899999871850014,0,0.44211065769195557,0.902999997138977,0.011784114874899387,0,0,0.011784114874899387,4.230199813842773,1,0,10.393876075744629
0.21532569825649261,0.23236650228500366,0.12300000339746475,0.03999999910593033,0,0.4173659682273865,0.7689999938011169,0.07592461258172989,0.013520821928977966,0.01976120099425316,0.03536215052008629,5.054999828338623,1,0,12.694778442382812
0.07479149848222733,0.5914592146873474,0.10899999737739563,0.04699999839067459,0,0.5229420065879822,0.7330000400543213,0.09387145936489105,0.02254919521510601,0.030900748446583748,0.03424137085676193,5.114999771118164,1,1,14.417366027832031
0.00606170017272234,0.18968570232391357,0.06800000369548798,0.07999999821186066,0,0.25113216042518616,0.715999960899353,0.05158184468746185,0,0,0.05158184468746185,5.5503997802734375,1,0,9.280146598815918
0.014968600124120712,0.1685492992401123,0.07000000029802322,0.10000000149011612,0,0.18849971890449524,0.8299999833106995,0.13913483917713165,0.05059448629617691,0.012648621574044228,0.06324310600757599,4.467400074005127,1,0,9.796514511108398
0.24270300567150116,0.07102140039205551,0.08900000154972076,0.06599999964237213,0,0.29077428579330444,0.8180000185966492,0.20527943968772888,0.04915141686797142,0.046260155737400055,0.08962905406951904,4.267000198364258,1,0,11.442020416259766
0.12997190654277802,0.28941550850868225,0.08399999886751175,0.04100000113248825,0,0.32693788409233093,0.7139999866485596,0.0511593371629715,0.015677861869335175,0.015677861869335175,0.018153313547372818,6.974899768829346,1,0,12.712109565734863
0.10752130299806595,0.24372169375419617,0.28999999165534973,0.03400000184774399,0,0.31958818435668945,0.6110000014305115,0.2133161872625351,0.07597562670707703,0.045293163508176804,0.08181990683078766,3.980799913406372,1,0,12.232086181640625
8.308999822475016e-4,0.9285417795181274,0.15399999916553497,0.07900000363588333,0,0.7881320714950562,0.8830000162124634,0.6390977501869202,0.03759398311376572,0.4135338366031647,0.15037593245506287,2.2741000652313232,1,1,8.884748458862305
0.04305759817361832,0.2069886028766632,0.09399999678134918,0.0820000022649765,0,0.13798101246356964,0.8209999799728394,0.014048890210688114,0,0,0.014048890210688114,4.196199893951416,1,0,10.540937423706055
0.1225351020693779,0.19707399606704712,0.07599999755620956,0.08399999886751175,0,0.2674090266227722,0.8510000109672546,0.1435956358909607,0,0.04307869076728821,0.08615738153457642,5.18209981918335,1,0,9.758056640625
0.023491300642490387,0.2132112979888916,0.08299999684095383,0.08799999952316284,0,0.22243748605251312,0.7730000019073486,0.15883588790893555,0.07173233479261398,0.03586616739630699,0.051237381994724274,4.973199844360352,1,0,10.695212364196777
0.07078050076961517,0.49101579189300537,0.11900000274181366,0.05400000140070915,0,0.44311875104904175,0.8460000157356262,0.244021475315094,0.008134049363434315,0.08947454392910004,0.13827884197235107,4.723299980163574,1,0,10.580175399780273
0.028800899162888527,0.4776608943939209,0.07900000363588333,0.0689999982714653,0,0.36771437525749207,0.8379999995231628,0.1271725296974182,0,0.042390841990709305,0.05652112513780594,5.107800006866455,1,0,9.983499526977539
0.016996700316667557,0.09089569747447968,0.06199999898672104,0.08399999886751175,0,0.14642231166362762,0.8569999933242798,0.22871217131614685,0,0.10555946826934814,0.10555946826934814,4.098100185394287,1,0,9.512812614440918
